gene	atnos1	coi1	dde2	ein2-1	ein3	jar1	jin1	mpk3	mpk6	ndr1-1	nho1	nia2	npr1-1	pad4-1	pbs2-1	pen2	pmr4	rbohD	rbohF	rps2-101C	sag101	sid2-2
At1g21250	0.103814308	0.033489727	-0.057222424	0.024691691	0.076720726	0.121866576	-0.189623757	-0.060401674	-0.26657209	-1.062609816	-0.108128606	0.258799211	-0.320710474	0.232460891	0.25584285	-0.040997606	0.047332061	-0.132473892	0.175972545	-0.22645915	-0.026193606	0.035013517
At1g21750	-0.146856331	1.269443131	-0.087244966	-0.223466897	-0.230011708	-0.161556632	-0.487092299	0.021215692	-0.456088966	-0.441766948	0.312345465	-0.229226336	-0.419351308	-0.310140697	-0.856506615	-0.026466535	0.104775798	-0.391030131	0.054746997	-0.086500281	-0.082698869	-0.149421948
At1g22360	0.091856173	-0.178942966	0.146885914	0.005267596	0.064154487	-0.080332752	0.041735581	0.084656887	0.171624581	0.142144097	0.197664034	0.073704057	0.284196687	0.161261996	0.007536764	-0.027187966	0.063365034	0.068192373	0.167132057	0.26070243	0.070733034	0.00378243
At1g23040	-0.224571135	0.322717455	-0.119237899	-0.122395661	-0.104037601	0.474058101	0.021301101	-0.074703401	0.085465101	-1.217215665	0.267000455	0.007391212	-0.115690601	-0.554522261	-0.677270665	0.034412455	0.321224455	-0.290450735	-0.314129788	-0.512372998	-0.052903878	-0.465036998
At1g24100	-0.308163344	-1.217312767	-0.091928762	-0.487875121	-0.14155884	-0.112880095	0.024030238	-0.17800564	-0.297441762	-0.867417898	-0.0999821	-0.149670269	-0.25303764	-0.166274321	-0.342810898	-1.4856721	-0.099039767	-0.222539144	0.371029731	-0.558795231	-0.260163767	-0.446939565
At1g26380	-1.45510027	0.831947048	-0.693437862	-0.267734131	-0.958985207	-1.111640862	-0.139306196	-0.563428007	-0.182736529	-3.693220069	0.405186715	-0.8012803	-1.530983007	-1.722833131	-1.457819069	0.557703715	0.780594382	-0.20246247	-0.2660703	-2.958932069	0.472687715	-1.714169402
At1g27100	-0.483928676	-0.071323148	-0.472476953	-0.033938841	-0.385979548	-0.487879619	0.013609047	-0.001210348	-0.187495619	-2.081225107	-0.173837148	-0.025403165	-0.872730348	-0.653344441	-0.583785107	-0.246770148	-0.082303148	-0.190201276	0.345986835	-1.92136344	-0.000767481	-0.50426144
At1g27130	-0.578261293	-0.053223032	-0.157345717	-0.330621027	-0.2465722	-0.180616384	0.005425283	-0.0560162	-0.102111384	-0.405139095	0.026703635	-0.230120205	-0.2580726	-0.073124627	-0.358895762	0.089942635	0.184824968	-0.148822293	0.013761795	-0.133519095	0.375320635	-0.324463095
At1g27730	-0.65095933	-1.56099968	-0.77234264	-0.349579877	-0.405171982	-0.63766464	-0.204852973	0.024656418	-0.09692364	-0.974637464	0.081056987	-0.319025552	-0.748693782	-0.825376677	-0.684554131	-0.617130013	0.217297987	-0.42768973	-0.823251219	-0.709471798	0.08094932	-0.398745131
At1g28480	-0.811250824	-3.114368733	-0.878392813	0.626379582	-0.297431858	-0.264026146	-0.328771146	0.224322942	0.043785854	-3.89372308	-0.081880399	-0.168706091	-1.727335658	-1.106232818	-0.699934414	0.204470601	0.250912601	-0.073108624	0.009951576	-1.03248608	0.090642267	-2.633799747
At1g29950	0.13874351	0.264618693	-0.095703375	-0.024984509	0.092401367	0.070118625	-0.012345375	0.025173167	-0.040665375	0.795651832	0.11253536	0.056421864	0.343801967	0.215002491	0.064994165	-0.242425973	0.149434027	0.15217191	0.00675653	0.182336499	0.058753027	-0.076274501
At1g30040	-0.507159645	-0.510184938	-0.323328308	0.124379536	-0.228580841	-0.490403308	-0.230886974	0.013838159	0.045996026	-2.515834012	0.061569062	0.046496685	-0.693832041	-0.602256064	-0.177664346	-0.360431604	0.034025062	-0.253084245	0.122935352	-2.085642012	0.107485396	-0.374666346
At1g32210	-0.093960487	-0.024240575	0.124029772	-0.02992117	0.065701924	0.368586772	0.261100772	0.067460724	0.091378105	-0.770426718	-0.498958909	-0.04408558	-0.280919076	-0.25530297	-0.144138385	0.156230425	-0.133751909	0.068687713	0.091354086	-0.550558385	0.094486091	-0.416834385
At1g33960	-0.162257085	-0.051548129	-0.52995892	0.974605571	-0.201659896	0.262204413	-0.111863587	-0.055351896	-0.24410192	-6.619041475	0.220552204	0.032433432	-0.553530496	-1.245730829	-0.330874142	0.578260871	0.154705538	0.016859715	0.179964432	-3.403215809	0.226801538	-0.498310809
At1g35230	-0.254750332	0.639601682	-0.025641467	-0.226758721	-0.090879804	0.034104199	0.171541533	0.029342996	-0.161347801	-4.096819662	-0.235775651	-0.119681347	-0.503698604	-0.697940321	-0.164931995	0.082981682	-0.019353651	-0.462548932	-0.126867347	-1.758453662	0.056947016	-0.110609662
At1g35670	-0.129957379	-0.114995771	0.111576379	-0.016271117	-0.067151703	0.109327712	0.080685712	0.179358897	-0.002379288	-0.33687431	-0.199689771	-0.009130747	-0.044632303	-0.108323517	-0.24997231	-0.053526104	0.086186896	-0.087302779	-0.142611414	-0.252285977	-0.156437771	-0.338025977
At1g43160	-0.283620282	-4.566242158	-1.275760042	-0.497477378	-0.328597405	0.261689958	-0.354256375	0.218073795	0.107344625	-0.564452664	0.203696509	-0.117219171	-0.100890605	-0.079651378	-0.05561933	-0.165693491	0.029716509	-0.423937682	0.154186829	0.06998067	-0.065841491	-0.46221633
At1g44350	-0.24322681	-2.758707857	-0.648879478	-0.001787988	-0.260266087	-0.128645812	-0.374754478	-0.183440887	-0.133248478	0.248422353	-0.017622857	-0.071182017	0.095127313	-0.028978788	-0.11003798	0.031265143	0.136749476	-0.17172841	0.178725316	-0.23815898	-0.159657191	0.09357202
